Restaurant ID,Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating text,Votes
300318,Kabab Hut,New Delhi,North Indian,600,No,Yes,2.9,Average,37
18070479,Kabbaba,New Delhi,"North Indian, Chinese, Fast Food",500,No,Yes,3.3,Average,31
9956,McDonald's,New Delhi,"Fast Food, Burger",500,No,Yes,3.3,Average,94
5652,New Durga Corner,New Delhi,South Indian,250,No,No,3.2,Average,37
7330,New Durga Dosa Corner,New Delhi,"South Indian, Fast Food",300,No,Yes,3,Average,43
4801,Pishori Chicken,New Delhi,North Indian,700,No,No,3.4,Average,46
9853,Pizza Break,New Delhi,"Pizza, Fast Food",800,No,Yes,3.4,Average,75
308929,Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,No,Yes,3.1,Average,58
300344,PK Shoppe,New Delhi,Fast Food,200,No,No,2.7,Average,36
18372287,Pudding & Pie,New Delhi,"Bakery, Desserts, Fast Food",450,No,No,2.7,Average,16
18198449,Punjabi Angithi,New Delhi,"North Indian, South Indian, Chinese",400,No,No,3.3,Average,31
300343,Punjabi Handi,New Delhi,"North Indian, Chinese",650,No,Yes,3.4,Average,39
300323,Quality Cake Shop,New Delhi,"Desserts, Fast Food, Chinese",350,No,Yes,3.2,Average,92
2366,Rahul's Rasoi,New Delhi,"North Indian, Chinese",600,No,Yes,2.5,Average,78
300334,RTW,New Delhi,Street Food,150,No,No,2.6,Average,49
300321,Sahib e Aalam,New Delhi,"North Indian, Mughlai",450,No,No,3.2,Average,49
5655,Shree Durga Dosa,New Delhi,"South Indian, Chinese",250,No,No,3.4,Average,35
7274,Shree Durga Dosa,New Delhi,"South Indian, Chinese",250,No,No,2.7,Average,27
9670,Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",800,Yes,Yes,3.2,Average,95
311957,Sunil Momos.Com,New Delhi,Chinese,200,No,Yes,3.4,Average,65
1990,Temptation Food,New Delhi,"Chinese, Fast Food",300,No,No,2.8,Average,29
18279470,Wheelyz,New Delhi,"North Indian, Chinese, Fast Food",550,No,No,3.2,Average,32
307965,Ashok Meat Wala,New Delhi,Mughlai,500,No,No,3.6,Good,40
